Area Name;Year;Variable;Value
Jacksonville;2015;Persons Living Outside This County Five Years Ago;14151
Holly Ridge;2015;Persons Living Outside This County Five Years Ago;261
Burgaw;2015;Persons Living Outside This County Five Years Ago;945
Rockwell;2015;Persons Living Outside This County Five Years Ago;37
Albemarle;2015;Persons Living Outside This County Five Years Ago;672
Kill Devil Hills;2015;Persons Living Outside This County Five Years Ago;442
Hickory;2015;Persons Living Outside This County Five Years Ago;2916
Mills River;2015;Persons Living Outside This County Five Years Ago;254
Wayne County;2015;Median Value of Owner Occupied Units;110400
Vass;2015;Median Value of Owner Occupied Units;121800
Pasquotank County;2015;Median Value of Owner Occupied Units;158800
Surry County;2015;Median Value of Owner Occupied Units;115500
Guilford County;2015;Median Value of Owner Occupied Units;156100
Aulander;2015;Median Value of Owner Occupied Units;68400
Mecklenburg County;2015;Population Estimate (BEA per Capita Denominator);1034070
Catawba County;2015;Population Estimate (BEA per Capita Denominator);155056
Tar Heel;2015;Persons Living Outside This County Five Years Ago;387
Gamewell;2015;Persons Living Outside This County Five Years Ago;100
Falkland;2015;Median Value of Owner Occupied Units;106800
Bolton;2015;Median Value of Owner Occupied Units;70000
Mecklenburg County;2015;Median Value of Owner Occupied Units;184800
Vance County;2015;Median Value of Owner Occupied Units;97900
New Hanover County;2015;Median Value of Owner Occupied Units;214300
Avery County;2015;Median Value of Owner Occupied Units;137100
Roxobel;2015;Median Value of Owner Occupied Units;64300
Spring Lake;2015;Median Value of Owner Occupied Units;90900
Anson County;2015;Median Value of Owner Occupied Units;76900
Tarboro;2015;Median Value of Owner Occupied Units;101200
Mint Hill;2015;Median Value of Owner Occupied Units;207500
Stem;2015;Median Value of Owner Occupied Units;150700
Maury;2015;Median Value of Owner Occupied Units;58200
Brookford;2015;Median Value of Owner Occupied Units;81100
Hickory;2015;Median Value of Owner Occupied Units;153500
Teachey;2015;Median Value of Owner Occupied Units;128300
Burlington;2015;Median Value of Owner Occupied Units;121800
Polkton;2015;Median Value of Owner Occupied Units;60700
Onslow County;2015;Median Value of Owner Occupied Units;154000
Perquimans County;2015;Median Value of Owner Occupied Units;165800
Wake Forest;2015;Median Value of Owner Occupied Units;267300
Princeville;2015;Median Value of Owner Occupied Units;73300
Nash County;2015;Population Estimate (BEA per Capita Denominator);93919
Montgomery County;2015;Persons Living Outside This County Five Years Ago;1371
Pantego;2015;Persons Living Outside This County Five Years Ago;7
Fallston;2015;Persons Living Outside This County Five Years Ago;8
Thomasville;2015;Persons Living Outside This County Five Years Ago;1892
Snow Hill;2015;Persons Living Outside This County Five Years Ago;63
Robbins;2015;Persons Living Outside This County Five Years Ago;40
St. Helena;2015;Persons Living Outside This County Five Years Ago;26
Forest Hills;2015;Persons Living Outside This County Five Years Ago;28
Gaston County;2015;Population Estimate (BEA per Capita Denominator);213442
Yadkin County;2015;Persons Living Outside This County Five Years Ago;1430
Haw River;2015;Persons Living Outside This County Five Years Ago;139
Aulander;2015;Persons Living Outside This County Five Years Ago;19
Roxobel;2015;Persons Living Outside This County Five Years Ago;26
East Arcadia;2015;Persons Living Outside This County Five Years Ago;29
Boiling Spring Lakes;2015;Persons Living Outside This County Five Years Ago;323
Bolivia;2015;Persons Living Outside This County Five Years Ago;0
Caswell Beach;2015;Persons Living Outside This County Five Years Ago;42
Hoke County;2015;Median Value of Owner Occupied Units;141500
High Point;2015;Median Value of Owner Occupied Units;142400
Jamestown;2015;Median Value of Owner Occupied Units;215000
Newport;2015;Median Value of Owner Occupied Units;152800
Varnamtown;2015;Median Value of Owner Occupied Units;169800
Henderson County;2015;Median Value of Owner Occupied Units;182300
East Arcadia;2015;Median Value of Owner Occupied Units;38500
Belhaven;2015;Median Value of Owner Occupied Units;77400
Rockingham County;2015;Median Value of Owner Occupied Units;106700
Tryon;2015;Median Value of Owner Occupied Units;179200
